display_name,segment_id_2024,base_id_2025,location_2024,location_2025,directions_2024,directions_2025,direction_display,pct_change_2024_2025,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,match_type,volume_comparability,needs_review,segment_id_2025,latitude,longitude,latitude_2024,longitude_2024,latitude_2025,longitude_2025,distance_m_2024_2025,text_score_2024_2025,match_tier_2024_2025,strict_reject_reason,direction_count,days_2024,days_2025,hours_2024,hours_2025,records_2024,records_2025,segment_id_2023,location_2023,latitude_2023,longitude_2023,distance_m_2023_2024,text_score_2023_2024,match_tier_2023_2024,directions_2023,midweek_avg_daily_volume_2023,pct_change_2023_2024,pct_change_2023_2025,days_2023,hours_2023,records_2023
2 Avenue between E 14th St and E 15th St — SB,28P2,771415,11_ATR_2 Avenue between E 14th St and E 15th St,2 AVENUE between 14 Street/canarsie Line and East 15 Street,SB,SB,SB,-17.75,24946.33,20519.0,strict_one_to_one,direction_set_exact,FALSE,33128,40.732667,-73.984699,40.732635,-73.984714,40.732699,-73.984684,7.6,66.7,text_and_distance,,1,6,6,24,24,576,576,28P2,2 Avenue  E. 14 Street,40.732635,-73.984714,0.0,87.0,text_and_distance,SB,24979.83,-0.13,-17.86,6,24,576
West Houston Street between Wooster St and West Broadway — WB,2A8,771406,52_ATR_West Houston Street between Wooster St and West Broadway,WEST HOUSTON STREET between Pedestrian Path and La Guardia Place,WB,WB,WB,23.59,14753.17,18232.83,strict_one_to_one,direction_set_exact,FALSE,159039,40.726784,-73.999422,40.726773,-73.999392,40.726795,-73.999452,5.6,58.5,close_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
9A at 14th Street — SB,32P4,771416,32_ATR_9A at 14th Street_SB,11 AVENUE between Bike Path and Bike Path,SB,SB,SB,54.88,24971.83,38675.5,strict_one_to_one,direction_set_exact,FALSE,158990,40.742447,-74.008886,40.742406,-74.008898,40.742488,-74.008874,9.4,43.8,close_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Borden Ave On Ramp at LIE 1 — EB,35P2,771450,19_ATR_Borden Ave on Ramp at LIE_EB 1,BORDEN AVENUE between Greenpoint Avenue and Long Island Expwy Et 17 E-w Eb,EB,EB,EB,48.51,24652.33,36610.17,strict_one_to_one,direction_set_exact,FALSE,66284,40.736237,-73.928504,40.736232,-73.928499,40.736242,-73.92851,1.5,60.5,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
9A between W 42nd St and W 41st St — SB,37P4,771428,37_ATR_9A between  W 42nd St and W 41st St,12 AVENUE between West 41 Street and West 42 Street,SB,SB,SB,39.42,26964.83,37593.5,strict_one_to_one,direction_set_exact,FALSE,142883,40.761755,-74.001599,40.761746,-74.0016,40.761763,-74.001597,1.9,70.6,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
East 63rd Street at York Avenue — EB,3P3A3B,771436,35_ATR_East 63rd Street at  York Avenue,EAST 63 STREET between Dead End and Dead end,EB,EB,EB,3.37,12481.0,12901.17,strict_one_to_one,direction_set_exact,FALSE,133099,40.760978,-73.957527,40.760965,-73.957487,40.760992,-73.957568,7.5,59.5,close_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
9A at W. 24th Street — SB,40P4,771419,40_ATR_9A at W. 24th Street,12 AVENUE between West 24 Street and Bike Path,SB,SB,SB,48.05,21551.33,31906.17,strict_one_to_one,direction_set_exact,FALSE,142905,40.750364,-74.008467,40.750237,-74.008497,40.750491,-74.008437,28.7,61.5,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Queens Blvd between 39th St and 39th Place — WB,46P2,771444,20_ATR_Queens Blvd between 39th St  and 39th Place,QUEENS BOULEVARD between 39 Street and 39 Place,WB,WB,WB,1.03,12673.17,12803.17,strict_one_to_one,direction_set_exact,FALSE,157025,40.744162,-73.925989,40.744183,-73.926035,40.744142,-73.925944,8.9,95.8,text_and_distance,,1,6,6,24,24,576,576,46P2,Queens Blvd 39th Place,40.744183,-73.926035,0.0,100.0,text_and_distance,WB,13349.83,-5.07,-4.09,6,24,576
FDR Dr between E Houston Street and E 6th Street — NB,46P4,771413,46_ATR_FDR Dr Btwn E Houston Street and E 6th Street_NB,F D R DRIVE between Dead End and E 6 Str-e River Park Ped Ovps,NB,NB,NB,17.3,57315.08,67231.83,strict_one_to_one,direction_set_exact,FALSE,194164,40.720516,-73.974706,40.720591,-73.974749,40.720442,-73.974663,18.1,44.7,close_distance,,1,12,6,24,24,1152,576,,,,,,,,,,,,,,
Queens Blvd between 38th St and 39th St — EB,47P2,771445,21_ATR_Queens Blvd between 38th St and 39th St,QUEENS BOULEVARD between 38 Street and 39 Street,EB,EB,EB,4.59,14468.17,15132.83,strict_one_to_one,direction_set_exact,FALSE,104628,40.74389,-73.926328,40.743891,-73.926259,40.743889,-73.926397,11.6,90.9,text_and_distance,,1,6,6,24,24,576,576,47P2,Queens Blvd 38th Street,40.743891,-73.926259,0.0,100.0,text_and_distance,EB,15673.5,-7.69,-3.45,6,24,576
